iso,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,1878230.276,937572.8661,867939.3204,741213.8984,658473.6254,376946.5088,471005.7089,230589.4223,112026.0902,109748.7432,88612.76176,254502.5812,392747.0492,438031.8185,475779.0276,385593.8501,318615.461,177836.1606,202628.5051,312580.9759,405092.4702,203563.1924,14469.71434,20810.42296,71266.04964,105301.6219,50209.01975,66180.45413,129635.3955,92377.89363,136724.3382,125819.5319,10782.49548,26934.05858,37100.73377,8239.430069,38077.75059
AGO,626186.2718,694572.8945,511691.2923,517980.4111,521690.5644,354960.5008,302689.9737,494144.2617,448763.6921,685224.3551,421134.811,379800.872,227026.6526,146128.4693,62235.77758,35138.75458,193756.6234,93646.00062,50361.88487,65333.35298,205057.9586,268196.4219,93342.57716,1342.39568,15208.054,31742.01262,12890.31568,17730.71315,58171.83374,17861.8109,33640.47012,52769.52208,194904.2094,271735.9486,27863.61085,47831.297,70169.22219
ALB,NA,NA,1657.041361,2440.449609,2844.78485,3037.777251,136034,3196.951097,331580.4969,4512.824433,5373.729148,4874.212728,5841.111965,4582.469297,4092.614745,5188.375707,6699.67609,6860.08217,5778.417663,4447.358185,58.03803583,195.1063083,377.0439174,537.8429065,660.485973,834.5249868,885.7171578,3010.980385,1801.962612,1374.958384,4168.195608,2148.99257,1532.16687,1163.507415,3625.077837,1941.769094,1401.679745
AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,10,10,25,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
ARE,14100,8455,10525,8745,12000,10790,14565,5935,5340,5935,5740,5315,3725,2590,3355,2125,1215,1480,585,345,150,265,210,110,145,NA,NA,275,NA,435,NA,660,0,2495,1735,1115,605
ARG,87910,22160,35530,158755,46200,32240,40120,23755,20045,9835,210465,102755,25435,670,3275,295,625,51145,1565,30,0,0,0,0,0,0,0,0,15,85,15,10,0,1590,0,0,15
ARM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7064.371699,6946.710686,6841.310897,6731.575105,6588.411809,6790.755329,6618.161826,6396.761245,6164.392832,5940.064693,5718.767196,5623.365187,5419.785442,5281.206541,5600.493214,5436.201268,5254.864728,33.24149261,36.72139827,33.42428222,36.2088683,39.1278572,42.24606991,46.54728252,49.60886754,52.64086218,55.81372295
ATG,1235,0,50,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
AUS,NA,NA,NA,NA,NA,NA,NA,1240,845,4400,6900,7125,22680,24475,5990,2490,4265,1635,1175,540,705,160,455,350,50,NA,55,325,520,350,950,995,790,1675,370,495,405
AUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,0,0,5,NA,0,NA,450,75,45,115,100,2240,245,260,340,0,0,540,1545,135,475
AZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281364.2351,39164.35172,67201.78621,311484.6173,32779.33659,22347.15568,36567.04462,135064.8264,55247.92973,24781.72486,26974.29609,257405.2848,92474.20071,40180.26416,56282.63687,18751.36382,259.8903379,946.4902515,3140.410865,2653.55377,2875.473743,3033.52837,6937.493341,6794.461218,30.34563269,140.2665991,355.2360627
BDI,292831.6787,182602.2399,220343.1073,127839.9711,159435.7667,173435.5657,104370.8063,144408.0608,121529.2892,63605.86136,49159.43186,97616.47415,103611.1584,50317.29116,64189.63988,70146.25129,23106.05473,16719.52986,18688.62151,83270.82035,95179.08021,7728.046602,690.2429547,3651.884341,4980.0032,6939.207441,2043.166702,5194.169577,6452.234431,3452.52341,3413.779687,4528.043852,1831.948439,1932.81609,1857.724499,1427.112709,1728.26267
BEL,NA,NA,NA,NA,NA,NA,NA,238080,405220,NA,36080,47825,36865,56730,53250,36105,19345,0,NA,NA,415,NA,220,305,130,75,320,490,165,200,2880,0,195,975,235,NA,1835
BEN,268784.8529,215598.7125,214533.5901,246587.619,242896.7235,137482.5644,248870.54,105800.9187,66528.42882,68345.70139,98114.87693,60562.92563,74618.36497,142790.7075,193848.1323,52403.23821,191507.8122,44229.51067,49213.95211,76827.07832,106175.5517,33402.17227,19203.05291,3553.781296,9298.8119,4401.28545,10364.69545,20593.15511,21853.48181,17792.12561,16959.20596,6116.484741,16264.13484,23757.42295,2519.069826,6495.667815,8915.330842
BFA,330112.9679,397158.4277,405521.284,581578.837,330334.2901,225251.3502,566295.4442,163797.1611,145027.9114,183789.582,132284.8612,437591.1936,275520.0687,100698.8955,121973.1266,353133.4663,94707.40275,238489.4385,140803.4445,98461.33247,96672.23333,4970.825266,53162.22456,34238.146,10252.54726,16644.06374,17204.00389,7440.605489,136593.6527,74244.83906,46219.1996,14093.98877,26759.93632,35792.92251,1050.204192,11539.1417,18806.28224
BGD,979138.7096,1729049.564,2445720.586,3166632.581,3375871.288,3909057.659,3918332.887,3517876.761,2680328.81,1640016.066,2101050.168,1849075.787,1687975.121,2146552.006,1738471.87,1596882.11,2215882.962,1995296.122,1797791.197,1638685.668,1469926.062,1323792.82,1298470.051,1006945.079,2396888.683,1896047.5,94867.80333,159005.6321,187586.6028,222397,143634.3057,177446.5726,189792.1729,293897.9678,1410.142687,6396.08394,26247.2426
BGR,93070.63723,79151.00989,66798.10224,73174.26837,69891.65149,71507.61467,70526.28383,70434.43473,69856.54331,69365.46816,69175.9511,141237.6156,31105.15765,76854.17971,60696.34228,67744.35031,63662.21016,64428.64755,62356.28341,64701.72699,62347.67923,63113.55546,60581.22394,61156.70638,59961.67718,59808.65854,59155.32103,58784.80181,58821.25938,141241.2143,16679.65887,60102.78252,55718.41628,57409.02543,56237.3551,56261.68011,55521.22677
BHR,1645,5735,2190,5670,9550,485,110,25,905,295,35,60,10,0,15,370,20,20,190,30,25,40,60,55,20,15,35,10,15,0,0,0,0,3960,0,0,0
BHS,225,250,14340,180,130,425,210,110,295,360,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9973.370674,11073.76922,12389.53235,13210.62874,13816.44175,13395.70282,17665.99902,20397.3755,18205.76771,16529.98994,15055.17828,13866.50813,12934.4831,12090.51307,11314.0046,10778.35572,10112.47542,9553.32278,9032.160427,8558.188866,8143.387615,7727.180905,7345.655802,7594.306219,7381.291289,7060.405733,6763.577097
BLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120,6755,11620,19370,4100,7580,1975,675,2585,765,105,225,70,105,10,5,745,5,0,0,5,250,50,80,2100,10,50,5
BLZ,930,30,55,20,35,620,1120,370,10,125,35,55,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0
BOL,38270,3600,10170,6350,1085,1730,4935,8965,3345,4100,10540,24685,16955,7205,380,35,35,5020,7205,610,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0
BRA,306405,196850,291295,404375,379965,645630,330295,130895,114265,307175,212685,39670,30185,175,3965,2900,261420,13905,4540,180,5,5,10,0,30,285,0,0,0,340,215,10,1100,33125,1070,NA,0
BRB,205,30,30,25,35,10,10,5,10,255,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0
BRN,3875,1215,2790,2705,3085,2200,315,140,195,60,NA,255,250,NA,NA,NA,65,60,115,210,55,NA,120,80,45,NA,NA,15,10,0,20,5,0,80,20,5,0
BTN,14505.34875,24418.9719,17770.92373,17322.48318,10828.03282,12461.33743,8978.632733,5573.779387,7316.963353,2866.343188,5785.363334,2305.426221,6617.417896,8960.137786,2714.547105,630.0455826,2363.410073,1966.466301,19705.44225,5601.306668,9948.88871,1893.314605,1057.369946,909.970484,825.7355448,446.2377484,11,84.85485531,143.3986224,307.5572399,288.8620977,237.8784707,210.8645832,811.2848574,487.2942438,663.420716,915.2617377
BWA,14137.55291,16135.73147,66179.47272,44240.10525,23426.0501,14925.3933,8101.699962,8560.521419,30899.76093,17984.98305,11379.39673,9225.807709,44149.32229,29180.00653,14054.69403,12678.46949,41690.63956,6543.277042,3012.125626,14085.15117,7182.266799,5168.914949,4337.860178,3644.600111,3250.174399,896.731318,1311.250081,1621.099696,2284.594633,1179.238047,1571.713712,1838.223964,2025.785103,1030.036089,1436.072711,1768.226172,565.5683397
CAF,187437.5581,109332.635,69120.93242,321623.4204,104748.7267,77393.80447,91582.37982,81054.92282,24556.35694,54342.60757,172202.4308,128843.3693,74450.14262,69840.7048,43734.81842,22556.23383,17877.14752,16234.83421,28735.79994,147225.7085,120927.0985,50693.50704,35211.08621,52638.64091,28868.29123,2781.421065,4597.736396,6896.00814,1627.532204,5238.399998,28123.46088,7111.347043,28318.99901,24060.41455,17664.69107,21777.60873,21784.13871
CAN,11535,5320,4670,20390,14080,74705,11925,3045,55725,5165,30890,13710,1015,2615,11805,1635,2895,60,145,1030,170,30,75,35,30,65,505,310,70,495,3795,60,410,2560,975,55,225
CHE,NA,NA,NA,NA,NA,NA,37000,38000,13500,9950,13500,21500,15000,7000,7000,10000,32000,10000,4000,NA,3500,NA,2870,195,300,NA,5075,10110,4790,385,3105,305,875,345,175,NA,525
CHL,32635,47190,33760,23925,85505,62815,13115,225395,65040,9790,10490,5,5,0,0,0,290,30,155,0,0,0,5,0,0,0,0,0,5,0,30,0,0,1015,45,0,0
CHN,24813512.85,22056652.95,19332380.83,15210553.81,19162459.98,10498171.19,6342754.389,5095405.585,4500925.655,4336530.848,5730421.434,6611624.85,6025303.588,4658021.027,3579455.761,3696981.513,4066671.946,3310209.509,3372758.535,3664806.132,3986275.426,2978157.728,3178611.926,3186468.209,3064440.844,2474740.683,2648937.858,3255489.772,2268586.243,1226079.759,891000.4069,683134.2714,1001923.563,4180441.727,2511521.41,1683978.229,997290.5794
CIV,332139.1147,313789.3684,173503.9074,132466.6978,178173.4211,516934.9768,706659.3175,351582.738,372301.9866,354941.7202,211243.3833,294671.5304,169998.8283,198185.2433,705179.2469,420796.6897,214638.4514,244384.227,128186.0068,121118.9542,120603.8604,122150.0452,105361.8163,76049.33928,32722.48375,2087.80027,8231.750339,13429.12707,6579.985779,15902.69759,27645.03421,7403.632783,12680.65312,22088.21792,3410.248903,11561.83924,18811.23128
CMR,NA,487809.3996,707702.8683,443824.5226,554176.1856,368402.7854,207167.8104,266239.0406,278880.0305,244478.7568,178835.1413,317042.0048,160986.8557,68068.95481,51810.37555,134318.5523,105642.8359,128697.8197,134034.1859,170440.4153,274446.3068,8363.717812,5496.219019,13116.32869,18777.05974,18010.93925,10001.52402,7135.331558,12542.09076,5420.383569,12882.18638,16590.0916,7418.250031,23686.21984,29351.59834,7804.004128,15228.86248
COD,38142,30775,26011.8244,37709.46043,49941.38108,64104.73338,79311.56884,95111.14734,112789.3574,131757.262,158805.7473,183409.5927,206040.3592,229149.3187,258038.5016,293262.9016,330155.9831,371576.0285,415633.0878,436724.3209,464056.6116,493972.3776,320784.9715,341927.4873,248213.124,152118.9653,82194.91822,45673.87681,36635.22919,32176.07389,133802,73870.82986,88381,5319.725316,5020,5092,45107
COG,58913.4116,131505.929,167291.1303,187385.9647,86353.10617,66556.46996,29550.62489,16265.22704,12092.99839,27480.04332,37854.1789,42573.3383,22225.9524,15054.98418,23627.03658,36738.98068,26513.41709,18474.09603,16261.55035,21232.37177,25942.54493,31495.35583,38344.88075,38395.46048,2924.50487,5295.240015,6686.590463,980.1689419,2638.459174,3483.222236,1552.490928,2496.063075,4997.010923,1635.155974,5390.282232,6697.131268,2192.955953
COK,86.28028173,157.409243,148.341746,142.4407568,132.9339962,127.9232551,117.5943535,106.6230757,691,481.415124,368.063481,293.527438,237.1329009,206.9890351,175.6289872,160.3802321,194,128.7232574,0.821575782,2,2.535944459,3.006858395,17,3.248573735,3.346665745,6,1,0.166712823,0.522473049,0.567385138,0.666159216,0.731510476,0.799734464,0.870771992,0.936045391,1.043372261,1.118526163
COL,98060,46365,65495,59245,27860,25900,103100,74005,62990,62600,51955,39880,45525,2625,2050,800,335,305,220,5,15,695,0,0,0,0,0,0,0,0,30,5,5,12580,5,0,0
COM,0,0,0,0,0,0,0,0,850,11640,0,0,0,10,0,0,0,0,0,NA,NA,0,0,0,4560,425,0,0,5,0,15,5,0,0,0,0,0
CPV,4205.016464,26353.60257,28829.88555,2631.164757,5594.784603,7665.912396,9257.916382,1336.525741,826.1235831,784.8049453,895.5478543,759.1723203,619.4381422,950.455427,818.5910589,684.9857866,22756.67547,5880.470972,1219.890079,753.3962016,582.1973479,509.2758761,465.1792749,431.4040306,402.5153312,146.8605833,235.6461713,272.9571166,279.8202341,128.433301,89.3563394,70.61011314,62.79765486,28.06069278,35.99366289,72.5233828,29.53129391
CRI,850,835,195,55,5,22670,20020,1790,165,380,31480,11805,1365,0,175,120,130,135,115,0,0,0,5,0,5,NA,0,0,0,0,0,0,0,190,0,0,0
CUB,91935,117040,16435,16575,14370,16560,4290,605,60,60,85,60,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5575,0,0,0
CYP,15,135,915,15,5,5,0,0,0,20,5,100,0,0,0,275,5,5,0,0,NA,0,0,0,5,0,0,5,0,90,0,5,450,50,0,0,15
CZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,12100,4195,2080,70,45,25,50,70,95,10,45,30,20,150,85,0,35,10,10,25,0,85,110,75,1110,45,35,710
DEU,26450,10145,48990,58795,2840,995,945,85,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30120,23285,3895,605,3890,11535,2835,4585,2870,3900,8035,830,8855,2180,12320,1630,4645
DJI,NA,2627.622762,7714.702178,82383.54638,8453.026973,12729.18842,6952.068649,24576.7412,26088.08109,8450.228657,5050.284773,8587.804374,6299.422641,10981.30062,5604.550217,21037.143,18194.95903,13786.87616,19283.07432,12428.75949,7967.221521,5870.519529,1447.305292,942.7648681,13104.11948,2326.915026,3056.977834,7092.734272,1645.290402,2051.725099,3296.187381,30549.11703,3577.855644,2255.196202,2553.352901,882.4311185,957.5569628
DMA,135,10,5,940,320,225,410,50,45,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
DNK,178255,78280,166210,105940,65935,117450,31340,3090,2025,900,810,645,575,180,100,595,305,NA,NA,70,55,160,0,0,10,135,10,70,30,25,420,10,85,145,45,15,20
DOM,17050,18355,14800,22145,22085,2505,2495,3460,7525,17385,37560,38250,23185,15,0,0,5,70,1370,1270,565,0,0,0,0,0,0,0,0,0,10,0,0,270,0,0,0
DZA,515941.4721,981963.7171,985922.3653,998077.7542,772401.7747,478068.5432,354471.6007,289730.9602,271628.3778,237012.1899,252829.6843,287435.6954,248781.7418,250302.9827,269478.2878,411199.4787,165457.5031,146834.9141,129423.5748,121066.4878,116426.6405,126001.8483,220509.7429,3289,2674.234956,3427.471787,4180.328221,5191.414505,7456.739314,9722.927293,12162.13505,13790.11066,16199.68554,5647.445062,2241.295505,3717.624872,1723.898063
ECU,23390,8235,12780,34895,5915,4195,7685,40020,18245,8230,7925,21780,18135,18340,4595,210,0,0,0,0,10,0,0,0,0,0,0,5,0,0,1315,360,0,0,0,5,0
EGY,405220.6313,1288081.061,307994.8443,1034525.721,1197628.283,301789.6023,395815.2917,790101.0869,869207.3627,245560.4565,270795.4975,1013543.405,606871.842,326472.6235,389160.8279,999150.7475,1006861.674,1093278.571,333314.381,592572.9038,455372.4704,166024.8052,39391.68383,28403.66822,24444.87115,263183.667,359077.6501,165596.9296,135869.9381,10641.58662,11401.06443,49525.2217,85372.84359,707337.9037,1269137.248,160788.639,56251.11187
ERI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40552.77509,30642.83006,60924.17099,76088.6529,45526.90373,38015.1453,71889.50794,30578.86333,36872.54902,38951.18769,4797.544416,6126.639337,10651.77334,5811.12108,6418.414835,9359.654895,5434.240229,7204.178289,13707.85773,8199.533058,11286.80803,18689.95683,13157.08075,83230.65264
ESP,733445,797810,1521750,194570,403315,1100545,175730,113505,164540,108250,122225,122300,59925,33980,44245,24820,9210,2230,1230,760,NA,335,1280,130,110,1810,1335,1485,205,1510,19010,6020,655,1315,575,185,805
EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,645,355,1560,1150,85,95,90,85,60,45,0,0,0,0,10,135,5,0,0,0,35,20,10,195,20,10,5
ETH,1090158.536,1186184.157,1694534.171,1160594.019,9397721.87,2242808.669,2076878.453,1005492.178,1471760.732,1461693.8,1590038.713,2045402.307,1879163.176,1529658.005,1546269.051,1480368.997,1477851.014,1623320.585,852415.1172,1374475.308,472260.3334,1185934.747,1392791.538,1180530.195,912095.899,1243669.558,234870.0936,436013.468,782749.7504,568213.5785,221855.8691,420200.7093,626161.5292,1257844.423,1908899.523,838382.2719,203649.8193
FIN,19065,27010,23755,3645,3070,3705,3175,645,5160,15,40,25,0,5,30,0,0,5,NA,NA,5,0,0,0,5,0,0,25,10,25,135,0,10,15,10,20,55
FJI,23250.30221,20860.07709,8197.760856,19097.51276,4674.675347,8960.754919,25876.07668,14246.84572,2947.853892,1708.550249,3505.896028,27573.77156,10239.72431,1900.862751,10795.83998,1981.809051,21832.26297,462.4674316,3157.613332,6178.454139,1820.627898,7167.32891,7101.521878,1639.604403,2296.046963,3141.951288,410.6326845,233.9470312,199.4051957,146.8746031,411.6372346,234.328955,215.0051567,3181.32052,3609.7827,987.5456559,473.0356401
FRA,5660,4060,4350,4890,1995,4655,NA,NA,NA,NA,784245,547740,386160,220025,271195,330000,4.00E+05,NA,NA,50000,NA,25925,NA,22240,180,200,195,3020,7705,25240,74745,0,1360,1335,785,395,2595
FSM,NA,NA,NA,NA,NA,NA,NA,517.2188602,503.7634677,574.1494561,666.0477582,742.9384315,776.1456662,1168.420713,906.1365477,770.3985688,704.7581326,626.0534186,673.0244842,626.9608948,574.3792111,510.0022622,464.1906951,430.3671616,382.9790211,364.6273012,332.5540375,317.3529676,300.0530012,297.182095,154.1114863,158.9804796,163.0947719,66.32974794,34.10173558,52.29237818,27.58590109
GAB,21046.27671,16401.85526,39099.95399,66041.1812,45662.74953,62174.6376,21856.16362,9051.916236,14977.98168,8309.091028,9286.920479,10867.99693,9207.322899,10824.14125,12440.88011,4399.813539,6571.306733,8781.819696,10953.59932,3883.786781,8497.009035,4626.982487,7073.791646,3535.116109,320.6361178,1224.540748,1404.91027,421.5942291,965.9873195,1326.739959,1448.479892,1550.574776,726.1494291,340,897.5474968,3416.528738,1445.129981
GBR,308895,528210,574740,338160,523870,451070,224250,441295,150800,141140,58635,61585,60090,117625,45085,34330,24220,370,NA,520,365,1570,2300,945,395,3820,5110,7225,6060,2215,5560,10460,9595,685,455,2790,1820
GEO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1061.774254,6847,1554.923441,1823.243345,2073.51256,2175.078682,2256.765064,2330.248278,2409.927913,2582.263445,7872,3241,2889.44587,2905.722565,94,38.11638445,40.31094168,6.254125565,7.39925904,8.92698571,10.34051194,11.35122955,0.037416858,0.000273272,0.018342102,9.90E-05
GHA,361153.1324,788253.3477,381052.0733,392198.033,617457.3393,196017.6149,239437.6498,378505.9409,220508.4956,301899.5158,194634.0976,368926.9238,333595.1978,331779.9999,377871.2585,330650.2289,350970.421,242511.3575,175918.7276,211550.0234,156560.3432,128638.9992,1939,8923.004371,18630.08075,24830.76095,10158.5315,18992.72669,22103.67463,26096.90065,10850.27047,18083.14304,19000.4658,1030,2109.974537,5987.276246,29.64262555
GIN,318784.7923,367678.6088,205327.8472,108977.5678,76860.48635,67376.72508,174125.0353,91190.53047,99671.46025,163225.6987,155947.979,60037.78196,120945.4289,68196.90722,40568.04591,285164.7823,235517.3733,212569.3525,441378.8015,263955.5771,177994.3685,78612.28826,61144.53635,1290.536117,9359.665628,14393.76763,3174.019527,10824.88565,18403.82696,3580.069153,10077.88387,14441.59998,3283.364332,12564.52402,1821.71694,3104.895127,45815.41483
